序号,章节,方剂名,出处,组成,用法,功用,主治,方义,配伍特点,注意/禁忌,《方剂学》页码,来源,QA状态,QA问题,药典候选状态,药典候选标题,药典候选来源,药典候选原文预览
51,第7章 补益剂,当归补血汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,当归补血口服液,中华人民共和国药典：2020年版．一部 P.935 entryId=1165,【处方】当归132g黄芪330g【制法】以上二味，当归加水蒸馏，分别收集蒸馏液和蒸馏后的水溶液（另器贮存）；药渣与黄芪加水煎煮三次，第一次2小时，第二次1.5小时，第三次1小时，煎液滤过，滤液与当归蒸馏后的水溶液合并
52,第7章 补益剂,归脾汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,归脾颗粒,中华人民共和国药典：2020年版．一部 P.867 entryId=1086,用于心脾两虚，气短心悸，失眠多梦，头昏头晕，肢倦乏力，食欲不振，崩漏便血。【用法与用量】开水冲服。一次1袋，一日3次。【规格】每袋装3g【贮藏】密封。
53,第7章 补益剂,八珍汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,本版药典（一部）新增品种名单,中华人民共和国药典：2020年版．一部 P.18 entryId=2275,本版药典（一部）新增品种名单药材和饮片裸花紫珠成方制剂和单味制剂八珍丸（浓缩丸）大黄利胆胶囊万灵五香膏小儿扶脾颗粒小儿咳喘灵口服液无比山药丸五加生化胶囊五灵胶囊五福化毒片止痢宁片风湿骨痛片丹灯通脑软胶囊丹灯通脑胶囊丹鹿通督片正气片四方胃胶囊生白合剂
54,第7章 补益剂,十全大补汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,四逆汤,中华人民共和国药典：2020年版．一部 P.878 entryId=1099,【处方】淡附片300g干姜200g炙甘草300g【制法】以上三味，淡附片、炙甘草加水煎煮二次，第一次2小时，第二次1.5小时，合并煎液，滤过；干姜用水蒸气蒸馏提取挥发油，挥发油和蒸馏后的水溶液备用；姜渣再加水煎煮1小时，煎液与上述水溶液合并，滤过，再与淡附片、炙甘草的煎液合并，浓缩至约400ml，放冷，加乙醇1200ml，搅匀，静置24小时，滤过，减压浓缩至适量，用适量水稀释，冷藏24小时，滤过，加单糖浆300ml、苯甲酸钠3g与上述挥发油，加水至1000ml，搅匀，灌封，灭菌，即得。【性状】本品为棕黄色的液体；气
55,第7章 补益剂,人参养荣汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,人参养荣丸,中华人民共和国药典：2020年版．一部 P.538 entryId=719,另取人参二醇对照品、人参三醇对照品，分别加无水乙醇制成每1ml含1mg的溶液，作为对照品溶液。
56,第7章 补益剂,六味地黄丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,六味地黄丸,中华人民共和国药典：2020年版．一部 P.791 entryId=1004,【处方】熟地黄160g酒萸肉80g牡丹皮60g山药80g茯苓60g泽泻60g【制法】以上六味，粉碎成细粉，过筛，混匀。用乙醇泛丸，干燥，制成水丸，或每100g粉末加炼蜜35～50g与适量的水，制丸，干燥，制成水蜜丸；或加炼蜜80～110g制成小蜜丸或大蜜丸，即得。【性状】本品为棕黑色的水丸、水蜜丸、棕褐色至黑褐色的小蜜丸或大蜜丸；味甜而酸。【鉴别】（1）取本品，置显微镜下观察：淀粉粒三角状卵形或矩圆形，直径24～40μm，脐点短缝状或人字状（山药）。不规则分枝状团块无色，遇水合氯醛试液溶化；菌丝无色，直径4～6μm
57,第7章 补益剂,左归丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,复方左炔诺孕酮滴丸,中华人民共和国药典：2020年版．二部 P.1009 entryId=3598,本品含左炔诺孕酮（C21H28O2）与炔雌醇（C20H24O2）均应为标示量的90.0%～115.0%。【处方】【性状】本品为糖衣丸。
58,第7章 补益剂,肾气丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,济生肾气丸,中华人民共和国药典：2020年版．一部 P.1448 entryId=1724,本品含牡丹皮以丹皮酚（C9H10O3）计，水蜜丸每1g不得少于0.58mg；小蜜丸每1g不得少于0.42mg；大蜜丸每丸不得少于3.8mg。【功能与主治】温肾化气，利水消肿。
59,第7章 补益剂,右归丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,右归丸,中华人民共和国药典：2020年版．一部 P.855 entryId=1070,小蜜丸一次9g，大蜜丸一次1丸，一日3次。【规格】（1）小蜜丸每10丸重1.8g　（2）大蜜丸每丸重9g【贮藏】密封。
60,第8章 固涩剂,牡蛎散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,安中片,中华人民共和国药典：2020年版．一部 P.975 entryId=1212,【鉴别】（1）取本品，置显微镜下观察：石细胞单个散在或成群，无色至棕色，类方形或类长方形，直径30～64μm，壁一面菲薄（桂枝）。不规则块片无色或淡黄褐色，表面具细纹理（煅牡蛎）。
61,第8章 固涩剂,九仙散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,九圣散,中华人民共和国药典：2020年版．一部 P.547 entryId=730,【处方】苍术150g黄柏200g紫苏叶200g苦杏仁400g薄荷200g乳香120g没药120g轻粉50g红粉50g【制法】以上九味，除轻粉、红粉外，其余苍术等七味粉碎成细粉；将轻粉、红粉分别水飞成极细粉
62,第8章 固涩剂,真人养脏汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…1375养血生发胶囊…1377养血当归胶囊…1377养血饮口服液…1378养血荣筋丸…1379养血清脑丸…1380养血清脑颗粒…1381养阴生血合剂…1382养阴降糖片…1383养阴清肺丸…1384养阴清肺口服液
63,第8章 固涩剂,四神丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,四神丸,中华人民共和国药典：2020年版．一部 P.878 entryId=1100,取上述粉末用生姜汁和水泛丸，干燥，即得。【性状】本品为浅褐色至褐色的水丸；气微香，味苦、咸而带酸、辛。
64,第8章 固涩剂,金锁固精丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…871再造生血胶囊…872西瓜霜润喉片…874西汉养生口服液（滋肾健脑液）…874西青果茶…875西青果颗粒…876西黄丸…876百令胶囊…877百合固金口服液…878百合固金丸…879百合固金丸（浓缩丸
65,第8章 固涩剂,固冲汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,0128　冲洗剂,中华人民共和国药典：2020年版．四部 P.60 entryId=5399,冲洗剂也可以是注射用水，但在标签中应注明供冲洗用。通常冲洗剂应调节至等渗。三、冲洗剂在适宜条件下目测应澄清，可见异物应符合规定。四、冲洗剂的容器应符合注射剂容器的规定。
66,第9章 安神剂,朱砂安神丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,牛黄镇惊丸,中华人民共和国药典：2020年版．一部 P.746 entryId=955,【功能与主治】镇惊安神，祛风豁痰。用于小儿惊风，高热抽搐，牙关紧闭，烦躁不安。【用法与用量】口服。水蜜丸一次1g，小蜜丸一次1.5g，大蜜丸一次1丸，一日1～3次；三岁以内小儿酌减。
67,第9章 安神剂,天王补心丹,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…608开光复明丸…608开胃健脾丸…610开胸顺气丸…611开胸顺气胶囊…612天王补心丸…613天王补心丸（浓缩丸）…614天丹通络片…615天丹通络胶囊…616天和追风膏…618天菊脑安胶囊…619
68,第9章 安神剂,酸枣仁汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,酸枣仁,中华人民共和国药典：2020年版．一部 P.431 entryId=583,另取酸枣仁皂苷A对照品、酸枣仁皂苷B对照品，加甲醇制成每1ml各含1mg的混合溶液，作为对照品溶液。
69,第10章 开窍剂,安宫牛黄丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,安宫牛黄丸,中华人民共和国药典：2020年版．一部 P.979 entryId=1217,【处方】牛黄100g水牛角浓缩粉200g麝香或人工麝香25g珍珠50g朱砂100g雄黄100g黄连100g黄芩100g栀子100g郁金100g冰片25g【制法】以上十一味，珍珠水飞或粉碎成极细粉；朱砂、雄黄分别水飞成极细粉；黄连、黄芩、栀子、郁金粉碎成细粉；将牛黄、水牛角浓缩粉、麝香或人工麝香、冰片研细，与上述粉末配研，过筛，混匀，加适量炼蜜制成大蜜丸600丸或1200丸，或包金衣，即得。【性状】本品为黄橙色至红褐色的大蜜丸，或为包金衣的大蜜丸，除去金衣后显黄橙色至红褐色；气芳香浓郁，味微苦。【鉴别】（1）取本品，
70,第10章 开窍剂,紫雪,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,紫雪散,中华人民共和国药典：2020年版．一部 P.1768 entryId=2076,【处方】石膏144g北寒水石144g滑石144g磁石144g玄参48g木香15g沉香15g升麻48g甘草24g丁香3g芒硝（制）480g硝石（精制）96g水牛角浓缩粉9g羚羊角4.5g人工麝香3.6g朱砂9g【制法】以上十六味，石膏、北寒水石、滑石、磁石砸成小块，加水煎煮三次，玄参、木香、沉香、升麻、甘草、丁香用石膏等煎液煎煮三次，合并煎液，滤过，滤液浓缩成膏；芒硝（制）、硝石（精制）粉碎，兑入膏中，混匀，干燥，粉碎成细粉；羚羊角锉研成细粉；朱砂水飞成极细粉；将水牛角浓缩粉、人工麝香研细，与上述粉末配研，过筛，混匀
71,第10章 开窍剂,至宝丹,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…709丹灯通脑软胶囊…710丹灯通脑胶囊…711丹红化瘀口服液…712丹参片…713丹香清脂颗粒…714丹桂香颗粒…714丹益片…716丹鹿通督片…717丹蒌片…718丹膝颗粒…719风热清口服液…721
72,第10章 开窍剂,苏合香丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,苏合香丸,中华人民共和国药典：2020年版．一部 P.1045 entryId=1286,再将苏合香炖化，加适量炼蜜与水制成水蜜丸960丸，低温干燥；或加适量炼蜜制成大蜜丸960丸，即得。【性状】本品为赭红色的水蜜丸或赭色的大蜜丸；气芳香，味微苦、辛。
73,第11章 理气剂,越鞠丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,越鞠丸,中华人民共和国药典：2020年版．一部 P.1757 entryId=2062,【处方】醋香附200g川芎200g炒栀子200g苍术（炒）200g六神曲（炒）200g【制法】以上五味，粉碎成细粉，过筛，混匀，用水泛丸，干燥，即得。
74,第11章 理气剂,柴胡疏肝散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,逍遥丸（浓缩丸）,中华人民共和国药典：2020年版．一部 P.1511 entryId=1797,另取柴胡对照药材1g，同法制成对照药材溶液。
75,第11章 理气剂,半夏厚朴汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,香砂养胃丸（浓缩丸）,中华人民共和国药典：2020年版．一部 P.1347 entryId=1613,【处方】木香210g砂仁210g白术300g陈皮300g茯苓300g半夏（制）300g醋香附210g枳实（炒）210g豆蔻（去壳）210g姜厚朴210g广藿香210g甘草90g生姜90g大枣150g【制法
76,第11章 理气剂,苏子降气汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,苏子降气丸,中华人民共和国药典：2020年版．一部 P.1045 entryId=1285,【功能与主治】降气化痰，温肾纳气。用于上盛下虚、气逆痰壅所致的咳嗽喘息、胸膈痞塞。【用法与用量】口服。一次6g，一日1～2次。【注意】阴虚，舌红无苔者忌服。【规格】每13粒重1g【贮藏】密封。
77,第11章 理气剂,定喘汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,金礞石,中华人民共和国药典：2020年版．一部 P.281 entryId=344,用于顽痰胶结，咳逆喘急，癫痫发狂，烦躁胸闷，惊风抽搐。【用法与用量】多入丸散服，3～6g；煎汤10～15g，布包先煎。【贮藏】置干燥处。
78,第11章 理气剂,旋覆代赭汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,银杏叶…329银柴胡…330甜瓜子…331猪牙皂…331猪苓…331猪胆粉…332猫爪草…333麻黄…333麻黄根…334鹿角…335鹿角胶…335鹿角霜…336鹿茸…336鹿衔草…337商陆…338旋覆花
79,第11章 理气剂,橘皮竹茹汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,竹茹,中华人民共和国药典：2020年版．一部 P.194 entryId=213,饮片【炮制】竹茹　除去杂质，切段或揉成小团。【性状】【检查】【浸出物】同药材。姜竹茹　取净竹茹，照姜汁炙法（通则0213）炒至黄色。【性状】本品形如竹茹，表面黄色。微有姜香气。
80,第12章 理血剂,桃核承气汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,273胆南星…273胖大海…273独一味…274独活…274急性子…275姜黄…276前胡…277首乌藤…277洪连…278洋金花…279穿山龙…279穿心莲…280络石藤…281十画　秦珠莱莲莪荷桂桔桃核夏柴党鸭铁积臭射徐狼凌高拳粉益浙娑海浮通预桑秦艽
81,第12章 理血剂,血府逐瘀汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,血府逐瘀丸,中华人民共和国药典：2020年版．一部 P.944 entryId=1178,用于气滞血瘀所致的胸痛、头痛日久、痛如针刺而有定处、内热烦闷、心悸失眠、急躁易怒。【用法与用量】空腹时用红糖水送服。一次1～2丸，一日2次。【注意】忌食辛冷食物；孕妇禁用。
82,第12章 理血剂,补阳还五汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,吴茱萸,中华人民共和国药典：2020年版．一部 P.227 entryId=266,【性状】本品呈球形或略呈五角状扁球形，直径2～5mm。表面暗黄绿色至褐色，粗糙，有多数点状突起或凹下的油点。顶端有五角星状的裂隙，基部残留被有黄色茸毛的果梗。
83,第12章 理血剂,复元活血汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,桃枝,中华人民共和国药典：2020年版．一部 P.340 entryId=438,【功能与主治】活血通络，解毒杀虫。用于心腹刺痛，风湿痹痛，跌打损伤，疮癣。【用法与用量】9～15g。外用适量，煎汤洗浴。【贮藏】置干燥处。
84,第12章 理血剂,温经汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,姜半夏,中华人民共和国药典：2020年版．一部 P.173 entryId=181,【性味与归经】辛，温。归脾、胃、肺经。【功能与主治】温中化痰，降逆止呕。用于痰饮呕吐，胃脘痞满。【用法与用量】3～9g。【注意】不宜与川乌、制川乌、草乌、制草乌、附子同用。【贮藏】置通风干燥处，防蛀。
85,第12章 理血剂,生化汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,四逆汤,中华人民共和国药典：2020年版．一部 P.878 entryId=1099,【处方】淡附片300g干姜200g炙甘草300g【制法】以上三味，淡附片、炙甘草加水煎煮二次，第一次2小时，第二次1.5小时，合并煎液，滤过；干姜用水蒸气蒸馏提取挥发油，挥发油和蒸馏后的水溶液备用；姜渣再加水煎煮1小时，煎液与上述水溶液合并，滤过，再与淡附片、炙甘草的煎液合并，浓缩至约400ml，放冷，加乙醇1200ml，搅匀，静置24小时，滤过，减压浓缩至适量，用适量水稀释，冷藏24小时，滤过，加单糖浆300ml、苯甲酸钠3g与上述挥发油，加水至1000ml，搅匀，灌封，灭菌，即得。【性状】本品为棕黄色的液体；气
86,第12章 理血剂,咳血方,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,云南白药,中华人民共和国药典：2020年版．一部 P.685 entryId=886,用于跌打损伤，瘀血肿痛，吐血、咳血、便血、痔血、崩漏下血，手术出血，疮疡肿毒及软组织挫伤，闭合性骨折，支气管扩张及肺结核咳血，溃疡病出血，以及皮肤感染性疾病。
87,第12章 理血剂,十灰散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,疏风定痛丸,中华人民共和国药典：2020年版．一部 P.1831 entryId=2144,【性状】本品为棕黑色或灰黑色的水蜜丸，或为灰黑色的小蜜丸或大蜜丸；气辛香，味苦、酸。【鉴别】（1）取本品，置显微镜下观察：气孔特异，保卫细胞侧面观呈哑铃状（麻黄）。
88,第13章 治风剂,川芎茶调散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,川芎茶调散,中华人民共和国药典：2020年版．一部 P.594 entryId=788,另取川芎对照药材0.3g，同法制成对照药材溶液。
89,第13章 治风剂,消风散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…721风痛安胶囊…721风湿马钱片…722风湿定片…723风湿骨痛片…724风湿骨痛胶囊…725风寒双离拐片…726风寒咳嗽丸…727风寒咳嗽颗粒…728乌贝散…729乌贝颗粒…729乌军治胆片…730
90,第13章 治风剂,大秦艽汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,独活寄生丸,中华人民共和国药典：2020年版．一部 P.1419 entryId=1692,本品含独活以蛇床子素（C15H16O3）计，水蜜丸每1g不得少于0.20mg；大蜜丸每丸不得少于1.2mg。秦艽　照高效液相色谱法（通则0512）测定。
91,第13章 治风剂,镇肝熄风汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,本版药典（一部）新增品种名单,中华人民共和国药典：2020年版．一部 P.18 entryId=2275,（浓缩丸）舒肝解郁胶囊舒泌通胶囊痛风定片湿毒清片滋肾健脑颗粒强力天麻杜仲丸强力枇杷胶囊强力枇杷露强力定眩胶囊疏风解毒胶囊蒲元和胃胶囊蒲地蓝消炎胶囊增液颗粒镇咳宁口服液镇咳宁颗粒癃清胶囊藤丹胶囊
92,第13章 治风剂,天麻钩藤饮,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,天智颗粒,中华人民共和国药典：2020年版．一部 P.676 entryId=875,【处方】天麻533g钩藤533g石决明533g杜仲533g桑寄生533g茯神267g首乌藤533g槐花267g栀子267g黄芩267g川牛膝400g益母草533g【制法】以上十二味，钩藤、桑寄生、益母草
93,第13章 治风剂,牵正散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,复方牵正膏,中华人民共和国药典：2020年版．一部 P.1381 entryId=1650,【处方】白附子50g地龙50g全蝎50g僵蚕50g川芎40g白芷40g当归40g赤芍40g防风40g生姜40g樟脑10g冰片10g薄荷脑5g麝香草酚5g【制法】以上十四味，除樟脑、冰片、薄荷脑和麝香草酚外，其余白附子等十味粉碎成粗粉，用85%乙醇作溶剂，浸渍，渗漉，收集漉液2200ml，漉液回收乙醇并浓缩至相对密度为1.05～1.10（55℃），与樟脑、冰片、薄荷脑和麝香草酚混匀，加入约4倍量重的由橡胶、松香、氧化锌、凡士林和羊毛脂制成的基质，制成涂料，进行涂膏，切段，盖衬，切成小块，即得。【性状】本品为浅棕色的片
94,第14章 治燥剂,杏苏散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,本版药典（一部）新增品种名单,中华人民共和国药典：2020年版．一部 P.18 entryId=2275,血栓通胶囊血滞通胶囊血塞通片血塞通胶囊血塞通颗粒壮腰健身丸安胎丸安脑片妇宁栓妇科止带胶囊妇科养荣丸妇康宝口服液（妇康宝合剂）芩暴红止咳分散片芪风固表颗粒芪明颗粒芪参益气滴丸芪珍胶囊芪黄通秘软胶囊芪蛭降糖片苏黄止咳胶囊杏苏止咳口服液杞菊地黄口服液连参通淋片补肾益精丸补虚通瘀颗粒坤宁口服液坤泰胶囊苦甘颗粒苦参软膏固肠止泻胶囊和血明目片和胃止泻胶囊金嗓开音颗粒金嗓清音胶囊金蝉止痒胶囊乳块消颗粒乳康颗粒参芪五味子颗粒参芪降糖片参芪降糖胶囊厚朴排气合剂胃疡宁丸复方双花口服液复方鱼腥草合剂复方益母草胶囊脉络舒通丸脉络舒通颗粒养
95,第14章 治燥剂,清燥救肺汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,玄明粉,中华人民共和国药典：2020年版．一部 P.170 entryId=175,【功能与主治】泻下通便，润燥软坚，清火消肿。用于实热积滞，大便燥结，腹满胀痛；外治咽喉肿痛，口舌生疮，牙龈肿痛，目赤，痈肿，丹毒。【用法与用量】3～9g，溶入煎好的汤液中服用。外用适量。
96,第14章 治燥剂,桑杏汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…1583桑菊感冒丸…1584桑菊感冒片…1585桑菊感冒合剂…1585桑葛降脂丸…1586十一画　理培黄萆梅排控虚野蛇银甜得麻痔康羚断清添寄颈维理中丸…1587培元通脑胶囊…1588培坤丸…1589黄氏响声丸
97,第14章 治燥剂,麦门冬汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,四逆汤,中华人民共和国药典：2020年版．一部 P.878 entryId=1099,【处方】淡附片300g干姜200g炙甘草300g【制法】以上三味，淡附片、炙甘草加水煎煮二次，第一次2小时，第二次1.5小时，合并煎液，滤过；干姜用水蒸气蒸馏提取挥发油，挥发油和蒸馏后的水溶液备用；姜渣再加水煎煮1小时，煎液与上述水溶液合并，滤过，再与淡附片、炙甘草的煎液合并，浓缩至约400ml，放冷，加乙醇1200ml，搅匀，静置24小时，滤过，减压浓缩至适量，用适量水稀释，冷藏24小时，滤过，加单糖浆300ml、苯甲酸钠3g与上述挥发油，加水至1000ml，搅匀，灌封，灭菌，即得。【性状】本品为棕黄色的液体；气
