序号,优先级,大类,场景,关键药,QA状态,QA问题,来源
119,P1,创伤/环境,冻伤复温镇痛,温水复温/布洛芬,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,冻伤处理指南；待PDF页码/章节检索
120,P1,创伤/环境,蛇咬伤,抗蛇毒血清,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,蛇伤救治指南；待PDF页码/章节检索
121,P1,创伤/环境,蜂蜇伤过敏反应,肾上腺素/抗组胺,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,过敏反应指南；待PDF页码/章节检索
122,P1,急救操作,快速顺序诱导插管,诱导药/肌松药,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急诊气道管理共识；待PDF页码/章节检索
123,P1,急救操作,插管后镇静镇痛,丙泊酚/咪达唑仑/芬太尼,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急诊气道管理共识；待PDF页码/章节检索
124,P1,急救操作,机械通气镇痛镇静,镇痛镇静药,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,ICU镇痛镇静指南；待PDF页码/章节检索
125,P1,急救操作,脓毒症乳酸升高复测,补液/血管活性药,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,脓毒症指南；待PDF页码/章节检索
126,P1,急救操作,急诊输血过敏反应,停止输血/肾上腺素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,输血反应处理规范；待PDF页码/章节检索
127,P1,急救操作,急性溶血性输血反应,补液/利尿/支持,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,输血反应处理规范；待PDF页码/章节检索
128,P1,急救操作,造影剂过敏反应,肾上腺素/补液/氧疗,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,造影剂不良反应处理指南；待PDF页码/章节检索
129,P1,急救操作,镇静相关呼吸抑制,气道支持/纳洛酮或氟马西尼,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,程序镇静指南；待PDF页码/章节检索
130,P1,急救操作,中心静脉置管相关气胸,减压/引流,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急诊操作并发症处理；待PDF页码/章节检索
131,P1,急救操作,急诊洗胃禁忌证,洗胃/活性炭,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
132,P1,感染急症,破伤风治疗,破伤风免疫球蛋白/甲硝唑,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,破伤风诊疗指南；待PDF页码/章节检索
133,P1,感染急症,狂犬病疑似暴露后处置,疫苗/免疫球蛋白,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,狂犬病预防控制指南；待PDF页码/章节检索
134,P1,感染急症,流脑经验治疗,头孢曲松,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,感染病指南；待PDF页码/章节检索
135,P1,感染急症,重症流感抗病毒,奥司他韦/帕拉米韦,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,流感诊疗方案；待PDF页码/章节检索
136,P1,感染急症,重症新冠低氧,氧疗/糖皮质激素/抗凝,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,新冠诊疗方案；待PDF页码/章节检索
137,P1,感染急症,皮肤软组织坏死性感染,广谱抗菌药/外科清创,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,感染病指南；待PDF页码/章节检索
138,P1,感染急症,感染性心内膜炎经验治疗,万古霉素/头孢曲松,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,感染病指南；待PDF页码/章节检索
139,P1,感染急症,腹腔感染脓毒症,抗菌药/源控制,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,感染/脓毒症指南；待PDF页码/章节检索
140,P1,感染急症,尿源性脓毒症,抗菌药/引流,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,泌尿感染指南；待PDF页码/章节检索
141,P1,感染急症,导管相关血流感染,抗菌药/拔管评估,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,感染病指南；待PDF页码/章节检索
142,P1,感染急症,中毒性休克综合征,抗菌药/源控制/免疫球蛋白,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,感染病/重症医学指南；待PDF页码/章节检索
143,P1,感染急症,气性坏疽,抗菌药/外科清创/高压氧,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,感染病/创伤指南；待PDF页码/章节检索
144,P1,感染急症,急性胆管炎休克,抗菌药/胆道引流,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,胆道感染急诊指南；待PDF页码/章节检索
145,P1,感染急症,重症急性胰腺炎感染,抗菌药/器官支持,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性胰腺炎指南；待PDF页码/章节检索
146,P1,感染急症,暴发性心肌炎休克,血管活性药/机械循环支持,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,心血管急症指南；待PDF页码/章节检索
147,P1,感染急症,急性心包填塞,心包穿刺/补液/升压药,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,心血管急症指南；待PDF页码/章节检索
148,P1,感染急症,恶性高热,丹曲林/降温/支持治疗,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,麻醉危急重症指南；待PDF页码/章节检索
149,P1,感染急症,输液反应寒战高热,停止输液/抗过敏/退热,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,输液反应处理规范；待PDF页码/章节检索
150,P1,感染急症,肝肾综合征急症,白蛋白/特利加压素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,肝硬化急症指南；待PDF页码/章节检索
