序号,优先级,大类,场景,关键药,首选剂量,儿童剂量,浓度规格,重复频率,后续处理,不可做,来源,QA状态,QA问题
54,P1,休克,肾上腺危象,氢化可的松/补液,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,内分泌急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
55,P1,休克,神经源性休克,去甲肾上腺素/补液,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,创伤/脊髓损伤指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
56,P1,神经急症,急性缺血性脑卒中桥接取栓,阿替普酶/抗血小板策略,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性缺血性脑卒中指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
57,P1,神经急症,脑出血降压,尼卡地平/乌拉地尔,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,脑出血诊治指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
58,P1,神经急症,华法林相关颅内出血逆转,维生素K/PCC,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,抗栓逆转指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
59,P1,神经急症,达比加群相关出血逆转,依达赛珠单抗,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,抗凝逆转指南/说明书；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
60,P1,神经急症,癫痫持续状态二线治疗,丙戊酸钠/左乙拉西坦/磷苯妥英,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,癫痫持续状态指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
61,P1,神经急症,惊厥性癫痫持续状态院前处理,咪达唑仑/地西泮,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,癫痫持续状态指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
62,P1,神经急症,颅高压高渗盐水,3%氯化钠,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,神经重症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
63,P1,神经急症,蛛网膜下腔出血血管痉挛预防,尼莫地平,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,蛛网膜下腔出血指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
64,P1,神经急症,重症肌无力危象,新斯的明/免疫球蛋白,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,神经免疫急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
65,P1,神经急症,细菌性脑膜炎经验治疗,头孢曲松/万古霉素/地塞米松,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,感染/神经急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
66,P1,内科急症,高渗高血糖状态,补液/胰岛素,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,高血糖危象指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
67,P1,内科急症,低钠血症抽搐,3%氯化钠,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,低钠血症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
68,P1,内科急症,严重高钙血症,补液/降钙素/双膦酸盐,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,高钙血症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
69,P1,内科急症,甲状腺危象,丙硫氧嘧啶/碘剂/β阻滞剂/激素,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,甲状腺危象指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
70,P1,内科急症,黏液性水肿昏迷,左甲状腺素/氢化可的松,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,内分泌急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
71,P1,内科急症,急性肾上腺皮质功能减退危象,氢化可的松,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,内分泌急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
72,P1,内科急症,肿瘤溶解综合征,水化/别嘌醇/拉布立酶,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,肿瘤急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
73,P1,内科急症,发热性中性粒细胞减少,抗假单胞菌β内酰胺,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,感染/肿瘤急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
74,P1,内科急症,上消化道大出血,质子泵抑制剂/血管活性药,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,消化道出血指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
75,P1,内科急症,肝性脑病,乳果糖/利福昔明,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,肝性脑病指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
76,P1,呼吸急症,重症哮喘连续雾化,沙丁胺醇/异丙托溴铵,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,哮喘急性发作指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
77,P1,呼吸急症,哮喘危重发作镁剂,硫酸镁,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,GINA/急诊哮喘指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
78,P1,呼吸急症,AECOPD无创通气前药物,支气管舒张剂/激素/抗菌药,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,慢阻肺急性加重指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
79,P1,呼吸急症,社区获得性肺炎重症经验治疗,β内酰胺/大环内酯/喹诺酮,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,CAP指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
80,P1,呼吸急症,张力性气胸,针刺减压/胸腔闭式引流,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,创伤急救指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
81,P1,呼吸急症,急性呼吸窘迫综合征镇静镇痛,镇静镇痛药/神经肌肉阻滞剂,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,ARDS指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
82,P1,呼吸急症,咯血大咯血,垂体后叶素/氨甲环酸,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,咯血急诊指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
83,P1,呼吸急症,急性喉梗阻,肾上腺素雾化/糖皮质激素,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,耳鼻喉急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
84,P1,呼吸急症,急性会厌炎,抗菌药/糖皮质激素,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,耳鼻喉急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
85,P1,呼吸急症,溺水复苏,氧疗/通气/复苏,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA特殊复苏情境；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
86,P1,中毒,对乙酰氨基酚中毒,乙酰半胱氨酸,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
87,P1,中毒,水杨酸中毒,碳酸氢钠/血液净化,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
88,P1,中毒,三环类抗抑郁药中毒,碳酸氢钠,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
89,P1,中毒,氰化物中毒,羟钴胺/硫代硫酸钠,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
90,P1,中毒,硝酸盐/亚硝酸盐中毒,亚甲蓝,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
91,P1,中毒,甲醇中毒,甲吡唑/乙醇/血液净化,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
92,P1,中毒,乙二醇中毒,甲吡唑/血液净化,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
93,P1,中毒,毒鼠强中毒,控制惊厥/支持治疗,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
94,P1,中毒,灭鼠药华法林类中毒,维生素K1/PCC,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
95,P1,中毒,百草枯中毒,吸附/血液净化/免疫抑制,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
96,P1,中毒,强酸强碱腐蚀伤,禁催吐/支持治疗,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
97,P1,中毒,酒精中毒低血糖风险,葡萄糖/硫胺素,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
98,P1,中毒,可卡因中毒胸痛,苯二氮䓬/硝酸酯,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA特殊复苏情境/中毒指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
99,P1,中毒,拟交感药物中毒高热,苯二氮䓬/降温,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
100,P1,中毒,抗精神病药恶性综合征,丹曲林/溴隐亭,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,精神科急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
101,P1,产科急症,先兆子痫重度高血压,拉贝洛尔/肼屈嗪/硝苯地平,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,妊娠期高血压疾病指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
102,P1,产科急症,子痫硫酸镁中毒处理,葡萄糖酸钙,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,妊娠期高血压疾病指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
103,P1,产科急症,胎盘早剥休克,输血/纠正凝血,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,产科急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
104,P1,产科急症,异位妊娠破裂,输液输血/手术,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,妇产科急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
105,P1,产科急症,妊娠合并肺栓塞,低分子肝素/溶栓,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,妊娠血栓指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
106,P1,产科急症,孕产妇心脏骤停,心肺复苏/围死亡剖宫产,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA特殊复苏情境/产科指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
107,P1,儿科急症,儿童心脏骤停,肾上腺素,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,2020 AHA PALS流程；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
108,P1,儿科急症,儿童过敏性休克,肾上腺素肌内,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,WAO/儿科过敏急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
109,P1,儿科急症,儿童低血糖,葡萄糖,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,儿科急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
110,P1,儿科急症,儿童癫痫持续状态,地西泮/咪达唑仑,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,儿科癫痫指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
111,P1,儿科急症,儿童脱水休克,等渗晶体液,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,儿科急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
112,P1,创伤/环境,创伤疼痛镇痛,芬太尼/吗啡/氯胺酮,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,创伤急救指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
113,P1,创伤/环境,烧伤早期液体复苏,乳酸林格液,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,烧伤诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
